geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
10246667,AandEm Corp The Petit Hotel,AandEm Corp The Petit Hotel,,10.77329,106.69606,S,HTL,VN,,20,760,,,0,,11,Asia/Ho_Chi_Minh,2023-06-26
10246647,AandEm Hotel 8A Thai Van Lung,AandEm Hotel 8A Thai Van Lung,,10.7792,106.70466,S,HTL,VN,,20,760,,,0,,14,Asia/Ho_Chi_Minh,2023-06-26
10246651,AandEm Hotel Hai Ba Trung,AandEm Hotel Hai Ba Trung,,10.77707,106.70448,S,HTL,VN,,20,760,,,0,,12,Asia/Ho_Chi_Minh,2023-06-26
10246669,AandEm Phan Boi Chau,AandEm Phan Boi Chau,,10.77301,106.69836,S,HTL,VN,,20,760,,,0,,6,Asia/Ho_Chi_Minh,2023-06-26
1594600,Aben Young,Aben Young,,15.75,107.6,P,PPL,VN,,84,510,,,0,,414,Asia/Ho_Chi_Minh,2023-06-26
1594596,Abram,Abram,"Abram,Abrame",16.06667,107.63333,T,MT,VN,,66,483,,,0,,710,Asia/Bangkok,2023-06-26
1594595,Abri Pavie,Abri Pavie,,21.8,103.1,P,PPL,VN,,92,097,,,0,,725,Asia/Bangkok,2023-06-26
1594586,Adial,Adial,,15.81667,107.61667,P,PPL,VN,,84,505,,,0,,503,Asia/Ho_Chi_Minh,2023-06-26
1594583,Ae Doi,Ae Doi,,15.61667,107.81667,T,MT,VN,,84,510,,,0,,634,Asia/Ho_Chi_Minh,2023-06-26
10126317,Agribank Hoi An Beach Resort,Agribank Hoi An Beach Resort,,15.89692,108.3658,S,HTL,VN,,84,503,,,0,,11,Asia/Ho_Chi_Minh,2023-06-26
1594578,Ahia,Ahia,,15.65,107.81667,H,STM,VN,,29,,,,0,,64,Asia/Ho_Chi_Minh,1995-04-14
1594574,Ai Blun,Ai Blun,,13.33333,108.71667,P,PPL,VN,,49,637,,,0,,219,Asia/Ho_Chi_Minh,2023-06-26
1584560,Ải Cươc,Ai Cuoc,"Ai Cuoc,Col D,Col d'Ai Cuoc,Col d’Ai Cuoc,Ải Cươc",21.51667,107.53333,T,PASS,VN,,30,201,,,0,,612,Asia/Bangkok,2023-06-26
1594573,Ải Hạ,Ai Ha,,20.36667,105.28333,P,PPL,VN,,34,386,,,0,,567,Asia/Bangkok,2023-06-26
1594570,Ai Mộ,Ai Mo,,21.11667,105.51667,P,PPL,VN,,44,272,,,0,,14,Asia/Bangkok,2023-06-26
1594526,Ái Nam,Ai Nam,"A Nan,Ai Nam,Ái Nam",22.48216,104.15588,P,PPL,VN,,90,086,,,0,,323,Asia/Bangkok,2023-06-26
8338049,Ái Ngãi,Ai Ngai,"Ai Ngai,Ái Ngãi",10.48754,106.49436,P,PPL,VN,,24,808,,,0,,1,Asia/Ho_Chi_Minh,2023-06-26
1594567,Ái Ngựa,Ai Ngua,,21.58333,103.98333,P,PPL,VN,,32,120,,,0,,702,Asia/Bangkok,2023-06-26
